"","DtCaseOrDeathOrTest","Jurisdiction","MAvg7Case"
"4759",2020-10-05,"BLOUNT",6.9
"4760",2020-10-06,"BLOUNT",8
"4761",2020-10-07,"BLOUNT",8.9
"4762",2020-10-08,"BLOUNT",9.6
"4763",2020-10-09,"BLOUNT",11.1
"4764",2020-10-10,"BLOUNT",12.4
"4765",2020-10-11,"BLOUNT",13.1
"4766",2020-10-12,"BLOUNT",15
"4767",2020-10-13,"BLOUNT",15
"4768",2020-10-14,"BLOUNT",15.6
"4769",2020-10-15,"BLOUNT",16.7
"4770",2020-10-16,"BLOUNT",17.1
"4771",2020-10-17,"BLOUNT",15.3
"4772",2020-10-18,"BLOUNT",15.1
"4773",2020-10-19,"BLOUNT",15.9
"4774",2020-10-20,"BLOUNT",16.9
"4775",2020-10-21,"BLOUNT",15.9
"4776",2020-10-22,"BLOUNT",15.3
"4777",2020-10-23,"BLOUNT",15.3
"4778",2020-10-24,"BLOUNT",16.9
"4779",2020-10-25,"BLOUNT",18
"4780",2020-10-26,"BLOUNT",18.7
"4781",2020-10-27,"BLOUNT",21.3
"4782",2020-10-28,"BLOUNT",25.7
"4783",2020-10-29,"BLOUNT",28.7
"4784",2020-10-30,"BLOUNT",30
"4785",2020-10-31,"BLOUNT",29.7
"4786",2020-11-01,"BLOUNT",29.6
"4787",2020-11-02,"BLOUNT",29.3
"4788",2020-11-03,"BLOUNT",29.3
"4789",2020-11-04,"BLOUNT",26.9
"4790",2020-11-05,"BLOUNT",26.3
"4791",2020-11-06,"BLOUNT",27.7
"4792",2020-11-07,"BLOUNT",30.1
"4793",2020-11-08,"BLOUNT",30
"4794",2020-11-09,"BLOUNT",33.3
"4795",2020-11-10,"BLOUNT",34
"4796",2020-11-11,"BLOUNT",36.7
"4797",2020-11-12,"BLOUNT",36.6
"4798",2020-11-13,"BLOUNT",35.4
"4799",2020-11-14,"BLOUNT",34.4
"4800",2020-11-15,"BLOUNT",36.7
"4801",2020-11-16,"BLOUNT",33.9
"4802",2020-11-17,"BLOUNT",32.9
"4803",2020-11-18,"BLOUNT",32.3
"4804",2020-11-19,"BLOUNT",31.3
"4805",2020-11-20,"BLOUNT",32.7
"4806",2020-11-21,"BLOUNT",33.3
"4807",2020-11-22,"BLOUNT",33
"4808",2020-11-23,"BLOUNT",34.7
"4809",2020-11-24,"BLOUNT",35.1
"4810",2020-11-25,"BLOUNT",36
"4811",2020-11-26,"BLOUNT",34
"4812",2020-11-27,"BLOUNT",36.4
"4813",2020-11-28,"BLOUNT",37.6
"4814",2020-11-29,"BLOUNT",38.9
"4815",2020-11-30,"BLOUNT",48.7
"4816",2020-12-01,"BLOUNT",51.9
"4817",2020-12-02,"BLOUNT",55.3
"4818",2020-12-03,"BLOUNT",61.4
"4819",2020-12-04,"BLOUNT",63.7
"4820",2020-12-05,"BLOUNT",65
"4821",2020-12-06,"BLOUNT",64.3
"4822",2020-12-07,"BLOUNT",61.7
"4823",2020-12-08,"BLOUNT",60.9
"4824",2020-12-09,"BLOUNT",64.3
"4825",2020-12-10,"BLOUNT",66
"4826",2020-12-11,"BLOUNT",64.1
"4827",2020-12-12,"BLOUNT",63.7
"4828",2020-12-13,"BLOUNT",64.6
"4829",2020-12-14,"BLOUNT",64.7
"4830",2020-12-15,"BLOUNT",66.3
"4831",2020-12-16,"BLOUNT",61.9
"4832",2020-12-17,"BLOUNT",63.1
"4833",2020-12-18,"BLOUNT",62.4
"4834",2020-12-19,"BLOUNT",61.6
"4835",2020-12-20,"BLOUNT",60.7
"4836",2020-12-21,"BLOUNT",53.9
"4837",2020-12-22,"BLOUNT",52.7
"4838",2020-12-23,"BLOUNT",51.6
"4839",2020-12-24,"BLOUNT",45.6
"4840",2020-12-25,"BLOUNT",39.4
"4841",2020-12-26,"BLOUNT",40.9
"4842",2020-12-27,"BLOUNT",42.3
"4843",2020-12-28,"BLOUNT",49.4
"4844",2020-12-29,"BLOUNT",52
"4845",2020-12-30,"BLOUNT",53.3
"4846",2020-12-31,"BLOUNT",56.7
"4847",2021-01-01,"BLOUNT",57.1
"4848",2021-01-02,"BLOUNT",55.1
"4849",2021-01-03,"BLOUNT",52.9
"4850",2021-01-04,"BLOUNT",50.3
"4851",2021-01-05,"BLOUNT",48.3
"4852",2021-01-06,"BLOUNT",47.9
"4853",2021-01-07,"BLOUNT",45.4
"4854",2021-01-08,"BLOUNT",50.1
"4855",2021-01-09,"BLOUNT",49.7
"4856",2021-01-10,"BLOUNT",48.6
"4857",2021-01-11,"BLOUNT",43.3
"4858",2021-01-12,"BLOUNT",40.4
"4859",2021-01-13,"BLOUNT",39.3
"4860",2021-01-14,"BLOUNT",37.6
"4861",2021-01-15,"BLOUNT",34
"4862",2021-01-16,"BLOUNT",32.9
"4863",2021-01-17,"BLOUNT",33.9
"4864",2021-01-18,"BLOUNT",30
"4865",2021-01-19,"BLOUNT",30.4
"4866",2021-01-20,"BLOUNT",26.1
"4867",2021-01-21,"BLOUNT",25
"4868",2021-01-22,"BLOUNT",23.7
"4869",2021-01-23,"BLOUNT",22.6
"4870",2021-01-24,"BLOUNT",21.4
"4871",2021-01-25,"BLOUNT",24.7
"4872",2021-01-26,"BLOUNT",22
"4873",2021-01-27,"BLOUNT",24.1
"4874",2021-01-28,"BLOUNT",25
"4875",2021-01-29,"BLOUNT",26
"4876",2021-01-30,"BLOUNT",25.9
"4877",2021-01-31,"BLOUNT",25.3
"4878",2021-02-01,"BLOUNT",23.9
"4879",2021-02-02,"BLOUNT",23.9
"4880",2021-02-03,"BLOUNT",21.3
"4881",2021-02-04,"BLOUNT",19.9
"4882",2021-02-05,"BLOUNT",19.3
"4883",2021-02-06,"BLOUNT",18.4
"4884",2021-02-07,"BLOUNT",16.6
"4885",2021-02-08,"BLOUNT",14.3
"4886",2021-02-09,"BLOUNT",12.1
"4887",2021-02-10,"BLOUNT",10.7
"4888",2021-02-11,"BLOUNT",10.1
"4889",2021-02-12,"BLOUNT",8.9
"4890",2021-02-13,"BLOUNT",8.9
"4891",2021-02-14,"BLOUNT",9.1
"4892",2021-02-15,"BLOUNT",8.7
"4893",2021-02-16,"BLOUNT",8.3
"4894",2021-02-17,"BLOUNT",9.1
"4895",2021-02-18,"BLOUNT",8.1
"4896",2021-02-19,"BLOUNT",7.7
"4897",2021-02-20,"BLOUNT",7.4
"4898",2021-02-21,"BLOUNT",7.9
"4899",2021-02-22,"BLOUNT",7.6
"4900",2021-02-23,"BLOUNT",8.1
"4901",2021-02-24,"BLOUNT",9.6
"4902",2021-02-25,"BLOUNT",9.4
"4903",2021-02-26,"BLOUNT",9.4
"4904",2021-02-27,"BLOUNT",10.4
"4905",2021-02-28,"BLOUNT",10
"4906",2021-03-01,"BLOUNT",10.3
"4907",2021-03-02,"BLOUNT",9.6
"4908",2021-03-03,"BLOUNT",7
"4909",2021-03-04,"BLOUNT",6.7
"4910",2021-03-05,"BLOUNT",6.3
"4911",2021-03-06,"BLOUNT",5.7
"4912",2021-03-07,"BLOUNT",6.4
"4913",2021-03-08,"BLOUNT",5.6
"4914",2021-03-09,"BLOUNT",6
"4915",2021-03-10,"BLOUNT",6
"4916",2021-03-11,"BLOUNT",6.1
"4917",2021-03-12,"BLOUNT",6.3
"4918",2021-03-13,"BLOUNT",6.4
"4919",2021-03-14,"BLOUNT",5.7
"4920",2021-03-15,"BLOUNT",6.4
"4921",2021-03-16,"BLOUNT",5.7
"4922",2021-03-17,"BLOUNT",5.7
"4923",2021-03-18,"BLOUNT",5.6
"4924",2021-03-19,"BLOUNT",6.1
"4925",2021-03-20,"BLOUNT",6.3
"4926",2021-03-21,"BLOUNT",5.9
"4927",2021-03-22,"BLOUNT",4.9
"4928",2021-03-23,"BLOUNT",5.7
"4929",2021-03-24,"BLOUNT",6.1
"4930",2021-03-25,"BLOUNT",5.7
"4931",2021-03-26,"BLOUNT",5.4
"4932",2021-03-27,"BLOUNT",5
"4933",2021-03-28,"BLOUNT",4.6
"4934",2021-03-29,"BLOUNT",4.3
"4935",2021-03-30,"BLOUNT",3.3
"4936",2021-03-31,"BLOUNT",3.4
"4937",2021-04-01,"BLOUNT",4
"4938",2021-04-02,"BLOUNT",3.7
"4939",2021-04-03,"BLOUNT",3.6
"4940",2021-04-04,"BLOUNT",4
"4941",2021-04-05,"BLOUNT",4.1
"4942",2021-04-06,"BLOUNT",4.1
"4943",2021-04-07,"BLOUNT",3.4
"4944",2021-04-08,"BLOUNT",4.1
"4945",2021-04-09,"BLOUNT",4.3
"4946",2021-04-10,"BLOUNT",4.9
"4947",2021-04-11,"BLOUNT",4.9
"4948",2021-04-12,"BLOUNT",4.7
"4949",2021-04-13,"BLOUNT",5.3
"4950",2021-04-14,"BLOUNT",5
"4951",2021-04-15,"BLOUNT",4.3
"4952",2021-04-16,"BLOUNT",4.9
"4953",2021-04-17,"BLOUNT",4.3
"4954",2021-04-18,"BLOUNT",4.4
"4955",2021-04-19,"BLOUNT",6
"4956",2021-04-20,"BLOUNT",6
"4957",2021-04-21,"BLOUNT",6.1
"4958",2021-04-22,"BLOUNT",6.3
"4959",2021-04-23,"BLOUNT",5.4
"4960",2021-04-24,"BLOUNT",5
"4961",2021-04-25,"BLOUNT",5.3
"4962",2021-04-26,"BLOUNT",5.1
"4963",2021-04-27,"BLOUNT",5.1
"4964",2021-04-28,"BLOUNT",5.7
"4965",2021-04-29,"BLOUNT",5.4
"4966",2021-04-30,"BLOUNT",5.9
"4967",2021-05-01,"BLOUNT",6.7
"4968",2021-05-02,"BLOUNT",6.3
"4969",2021-05-03,"BLOUNT",5.9
"4970",2021-05-04,"BLOUNT",5.9
"4971",2021-05-05,"BLOUNT",5.6
"4972",2021-05-06,"BLOUNT",6.1
"4973",2021-05-07,"BLOUNT",6
"4974",2021-05-08,"BLOUNT",6
"4975",2021-05-09,"BLOUNT",5.9
"4976",2021-05-10,"BLOUNT",6
"4977",2021-05-11,"BLOUNT",5.9
"4978",2021-05-12,"BLOUNT",5.3
"4979",2021-05-13,"BLOUNT",4.9
"4980",2021-05-14,"BLOUNT",5
"4981",2021-05-15,"BLOUNT",4.3
"4982",2021-05-16,"BLOUNT",4.7
"4983",2021-05-17,"BLOUNT",5.1
"4984",2021-05-18,"BLOUNT",5.4
"4985",2021-05-19,"BLOUNT",5.7
"4986",2021-05-20,"BLOUNT",6.1
"4987",2021-05-21,"BLOUNT",6.3
"4988",2021-05-22,"BLOUNT",6.7
"4989",2021-05-23,"BLOUNT",6.3
"4990",2021-05-24,"BLOUNT",5.1
"4991",2021-05-25,"BLOUNT",4.4
"4992",2021-05-26,"BLOUNT",4.4
"4993",2021-05-27,"BLOUNT",3.6
"4994",2021-05-28,"BLOUNT",2.7
"4995",2021-05-29,"BLOUNT",2.4
"4996",2021-05-30,"BLOUNT",2.3
"4997",2021-05-31,"BLOUNT",1.9
"4998",2021-06-01,"BLOUNT",2.4
"4999",2021-06-02,"BLOUNT",2.4
"5000",2021-06-03,"BLOUNT",2.4
"5001",2021-06-04,"BLOUNT",2.3
"5002",2021-06-05,"BLOUNT",2.3
"5003",2021-06-06,"BLOUNT",2.4
"5004",2021-06-07,"BLOUNT",2.1
"5005",2021-06-08,"BLOUNT",1.6
"5006",2021-06-09,"BLOUNT",1.1
"5007",2021-06-10,"BLOUNT",1.1
"5008",2021-06-11,"BLOUNT",1.3
"5009",2021-06-12,"BLOUNT",1.1
"5010",2021-06-13,"BLOUNT",1.1
"5011",2021-06-14,"BLOUNT",1.4
"5012",2021-06-15,"BLOUNT",1.4
"5013",2021-06-16,"BLOUNT",1.6
"5014",2021-06-17,"BLOUNT",1.4
"5015",2021-06-18,"BLOUNT",1.9
"5016",2021-06-19,"BLOUNT",2.1
"5017",2021-06-20,"BLOUNT",2.1
"5018",2021-06-21,"BLOUNT",2.3
"5019",2021-06-22,"BLOUNT",2.1
"5020",2021-06-23,"BLOUNT",2.4
"5021",2021-06-24,"BLOUNT",2.9
"5022",2021-06-25,"BLOUNT",2.3
"5023",2021-06-26,"BLOUNT",2.1
"5024",2021-06-27,"BLOUNT",2.4
"5025",2021-06-28,"BLOUNT",2.1
"5026",2021-06-29,"BLOUNT",2.4
"5027",2021-06-30,"BLOUNT",2.4
"5028",2021-07-01,"BLOUNT",2.6
"5029",2021-07-02,"BLOUNT",3.6
"5030",2021-07-03,"BLOUNT",3.9
"5031",2021-07-04,"BLOUNT",3.6
"5032",2021-07-05,"BLOUNT",3.6
"5033",2021-07-06,"BLOUNT",3.3
"5034",2021-07-07,"BLOUNT",3.6
"5035",2021-07-08,"BLOUNT",3.9
"5036",2021-07-09,"BLOUNT",4.6
"5037",2021-07-10,"BLOUNT",5
"5038",2021-07-11,"BLOUNT",5.6
"5039",2021-07-12,"BLOUNT",6.6
"5040",2021-07-13,"BLOUNT",7.7
"5041",2021-07-14,"BLOUNT",8.3
"5042",2021-07-15,"BLOUNT",9
"5043",2021-07-16,"BLOUNT",9.1
"5044",2021-07-17,"BLOUNT",9.3
"5045",2021-07-18,"BLOUNT",10.3
"5046",2021-07-19,"BLOUNT",11.3
"5047",2021-07-20,"BLOUNT",11.4
"5048",2021-07-21,"BLOUNT",12.6
"5049",2021-07-22,"BLOUNT",14.1
"5050",2021-07-23,"BLOUNT",15.3
"5051",2021-07-24,"BLOUNT",15.1
"5052",2021-07-25,"BLOUNT",16.6
"5053",2021-07-26,"BLOUNT",20
"5054",2021-07-27,"BLOUNT",24
"5055",2021-07-28,"BLOUNT",26.3
"5056",2021-07-29,"BLOUNT",27.1
"5057",2021-07-30,"BLOUNT",28.4
"5058",2021-07-31,"BLOUNT",31.6
"5059",2021-08-01,"BLOUNT",33.9
"5060",2021-08-02,"BLOUNT",34.9
"5061",2021-08-03,"BLOUNT",39
"5062",2021-08-04,"BLOUNT",41.7
"5063",2021-08-05,"BLOUNT",42
"5064",2021-08-06,"BLOUNT",41.9
"5065",2021-08-07,"BLOUNT",41.4
"5066",2021-08-08,"BLOUNT",39.6
"5067",2021-08-09,"BLOUNT",41.6
"5068",2021-08-10,"BLOUNT",39.9
"5069",2021-08-11,"BLOUNT",41.1
"5070",2021-08-12,"BLOUNT",46.4
"5071",2021-08-13,"BLOUNT",49.7
"5072",2021-08-14,"BLOUNT",50
"5073",2021-08-15,"BLOUNT",52.1
"5074",2021-08-16,"BLOUNT",57
"5075",2021-08-17,"BLOUNT",57.3
"5076",2021-08-18,"BLOUNT",59.1
"5077",2021-08-19,"BLOUNT",61.1
"5078",2021-08-20,"BLOUNT",61.9
"5079",2021-08-21,"BLOUNT",65.9
"5080",2021-08-22,"BLOUNT",66.4
"5081",2021-08-23,"BLOUNT",66
"5082",2021-08-24,"BLOUNT",69
"5083",2021-08-25,"BLOUNT",69.7
"5084",2021-08-26,"BLOUNT",66.1
"5085",2021-08-27,"BLOUNT",65.1
"5086",2021-08-28,"BLOUNT",61.1
"5087",2021-08-29,"BLOUNT",60
"5088",2021-08-30,"BLOUNT",59
"5089",2021-08-31,"BLOUNT",57.4
"5090",2021-09-01,"BLOUNT",56
"5091",2021-09-02,"BLOUNT",54.7
"5092",2021-09-03,"BLOUNT",56
"5093",2021-09-04,"BLOUNT",55
"5094",2021-09-05,"BLOUNT",56.6
"5095",2021-09-06,"BLOUNT",48.6
"5096",2021-09-07,"BLOUNT",49.4
"5097",2021-09-08,"BLOUNT",47.3
"5098",2021-09-09,"BLOUNT",47.6
"5099",2021-09-10,"BLOUNT",43.7
"5100",2021-09-11,"BLOUNT",43
"5101",2021-09-12,"BLOUNT",38
"5102",2021-09-13,"BLOUNT",40.4
"5103",2021-09-14,"BLOUNT",34.3
"5104",2021-09-15,"BLOUNT",30.1
"5105",2021-09-16,"BLOUNT",28.6
"5106",2021-09-17,"BLOUNT",27.1
"5107",2021-09-18,"BLOUNT",27.1
"5108",2021-09-19,"BLOUNT",28.6
"5109",2021-09-20,"BLOUNT",26.9
"5110",2021-09-21,"BLOUNT",27.9
"5111",2021-09-22,"BLOUNT",27.6
"5112",2021-09-23,"BLOUNT",27.3
"5113",2021-09-24,"BLOUNT",27.1
"5114",2021-09-25,"BLOUNT",26.3
"5115",2021-09-26,"BLOUNT",24.7
"5116",2021-09-27,"BLOUNT",25.1
"5117",2021-09-28,"BLOUNT",23.1
"5118",2021-09-29,"BLOUNT",21.3
"5119",2021-09-30,"BLOUNT",19.6
"5120",2021-10-01,"BLOUNT",18.9
"5121",2021-10-02,"BLOUNT",19.1
"5122",2021-10-03,"BLOUNT",19.7
"5123",2021-10-04,"BLOUNT",18.7
"5124",2021-10-05,"BLOUNT",18.4
"5125",2021-10-06,"BLOUNT",21
"5126",2021-10-07,"BLOUNT",21.1
"5127",2021-10-08,"BLOUNT",21.7
"5128",2021-10-09,"BLOUNT",21.1
"5129",2021-10-10,"BLOUNT",20.6
"5130",2021-10-11,"BLOUNT",19.3
"5131",2021-10-12,"BLOUNT",19.1
"5132",2021-10-13,"BLOUNT",17.3
"5133",2021-10-14,"BLOUNT",14.9
"5134",2021-10-15,"BLOUNT",13.7
"5135",2021-10-16,"BLOUNT",13.9
"5136",2021-10-17,"BLOUNT",13.3
"5137",2021-10-18,"BLOUNT",14.1
"5138",2021-10-19,"BLOUNT",12.9
"5139",2021-10-20,"BLOUNT",13.6
"5140",2021-10-21,"BLOUNT",13.1
"5141",2021-10-22,"BLOUNT",12.9
"5142",2021-10-23,"BLOUNT",12.7
"5143",2021-10-24,"BLOUNT",12.7
"5144",2021-10-25,"BLOUNT",10.4
"5145",2021-10-26,"BLOUNT",9.4
"5146",2021-10-27,"BLOUNT",8.4
"5147",2021-10-28,"BLOUNT",9.7
"5148",2021-10-29,"BLOUNT",9.1
"5149",2021-10-30,"BLOUNT",8.7
"5150",2021-10-31,"BLOUNT",8.6
"5151",2021-11-01,"BLOUNT",7.7
"5152",2021-11-02,"BLOUNT",8.1
"5153",2021-11-03,"BLOUNT",8.1
"5154",2021-11-04,"BLOUNT",6.9
"5155",2021-11-05,"BLOUNT",7.9
"5156",2021-11-06,"BLOUNT",8.1
"5157",2021-11-07,"BLOUNT",7.9
"5158",2021-11-08,"BLOUNT",8.3
"5159",2021-11-09,"BLOUNT",9
"5160",2021-11-10,"BLOUNT",8.6
"5161",2021-11-11,"BLOUNT",8.6
"5162",2021-11-12,"BLOUNT",8
"5163",2021-11-13,"BLOUNT",7.6
"5164",2021-11-14,"BLOUNT",7.7
"5165",2021-11-15,"BLOUNT",8
"5166",2021-11-16,"BLOUNT",7.6
"5167",2021-11-17,"BLOUNT",7.4
"5168",2021-11-18,"BLOUNT",7.9
"5169",2021-11-19,"BLOUNT",8.3
"5170",2021-11-20,"BLOUNT",8.3
"5171",2021-11-21,"BLOUNT",8.6
"5172",2021-11-22,"BLOUNT",8.3
"5173",2021-11-23,"BLOUNT",7.9
"5174",2021-11-24,"BLOUNT",7.9
"5175",2021-11-25,"BLOUNT",7.4
"5176",2021-11-26,"BLOUNT",7
"5177",2021-11-27,"BLOUNT",7.3
"5178",2021-11-28,"BLOUNT",7.6
"5179",2021-11-29,"BLOUNT",9.3
"5180",2021-11-30,"BLOUNT",9.6
"5181",2021-12-01,"BLOUNT",11.3
"5182",2021-12-02,"BLOUNT",12.4
"5183",2021-12-03,"BLOUNT",12.3
"5184",2021-12-04,"BLOUNT",12.7
"5185",2021-12-05,"BLOUNT",12
"5186",2021-12-06,"BLOUNT",11.6
"5187",2021-12-07,"BLOUNT",11.9
"5188",2021-12-08,"BLOUNT",10
"5189",2021-12-09,"BLOUNT",9.6
"5190",2021-12-10,"BLOUNT",10.9
"5191",2021-12-11,"BLOUNT",10.3
"5192",2021-12-12,"BLOUNT",10.9
"5193",2021-12-13,"BLOUNT",12.9
"5194",2021-12-14,"BLOUNT",13.9
"5195",2021-12-15,"BLOUNT",15.1
"5196",2021-12-16,"BLOUNT",15.6
"5197",2021-12-17,"BLOUNT",14.9
"5198",2021-12-18,"BLOUNT",15.4
"5199",2021-12-19,"BLOUNT",14.9
"5200",2021-12-20,"BLOUNT",13
"5201",2021-12-21,"BLOUNT",13
"5202",2021-12-22,"BLOUNT",14
"5203",2021-12-23,"BLOUNT",14.1
"5204",2021-12-24,"BLOUNT",14.7
"5205",2021-12-25,"BLOUNT",14.3
"5206",2021-12-26,"BLOUNT",17.4
"5207",2021-12-27,"BLOUNT",24.4
"5208",2021-12-28,"BLOUNT",33.3
"5209",2021-12-29,"BLOUNT",42.1
"5210",2021-12-30,"BLOUNT",48.6
"5211",2021-12-31,"BLOUNT",52
"5212",2022-01-01,"BLOUNT",56.6
"5213",2022-01-02,"BLOUNT",57.7
"5214",2022-01-03,"BLOUNT",61.1
"5215",2022-01-04,"BLOUNT",66.9
"5216",2022-01-05,"BLOUNT",69.6
"5217",2022-01-06,"BLOUNT",75
"5218",2022-01-07,"BLOUNT",82.6
"5219",2022-01-08,"BLOUNT",87.1
"5220",2022-01-09,"BLOUNT",92
"5221",2022-01-10,"BLOUNT",101
"5222",2022-01-11,"BLOUNT",104.4
"5223",2022-01-12,"BLOUNT",111.3
"5224",2022-01-13,"BLOUNT",118.1
"5225",2022-01-14,"BLOUNT",121.6
"5226",2022-01-15,"BLOUNT",123
"5227",2022-01-16,"BLOUNT",123
"5228",2022-01-17,"BLOUNT",126.4
"5229",2022-01-18,"BLOUNT",128.3
"5230",2022-01-19,"BLOUNT",129.7
"5231",2022-01-20,"BLOUNT",124.6
"5232",2022-01-21,"BLOUNT",119.9
"5233",2022-01-22,"BLOUNT",115.7
"5234",2022-01-23,"BLOUNT",113.1
"5235",2022-01-24,"BLOUNT",104.6
"5236",2022-01-25,"BLOUNT",103.9
"5237",2022-01-26,"BLOUNT",96
"5238",2022-01-27,"BLOUNT",91.3
"5239",2022-01-28,"BLOUNT",89.3
"5240",2022-01-29,"BLOUNT",86.9
"5241",2022-01-30,"BLOUNT",84.7
"5242",2022-01-31,"BLOUNT",80.4
"5243",2022-02-01,"BLOUNT",68.6
"5244",2022-02-02,"BLOUNT",60
"5245",2022-02-03,"BLOUNT",54.4
"5246",2022-02-04,"BLOUNT",48.9
"5247",2022-02-05,"BLOUNT",45.9
"5248",2022-02-06,"BLOUNT",43.3
"5249",2022-02-07,"BLOUNT",35.4
"5250",2022-02-08,"BLOUNT",29.4
"5251",2022-02-09,"BLOUNT",26.6
"5252",2022-02-10,"BLOUNT",23.3
"5253",2022-02-11,"BLOUNT",20.9
"5254",2022-02-12,"BLOUNT",20.9
"5255",2022-02-13,"BLOUNT",19.7
"5256",2022-02-14,"BLOUNT",17.6
"5257",2022-02-15,"BLOUNT",15.6
"5258",2022-02-16,"BLOUNT",14.3
"5259",2022-02-17,"BLOUNT",13.7
"5260",2022-02-18,"BLOUNT",12.7
"5261",2022-02-19,"BLOUNT",12.1
"5262",2022-02-20,"BLOUNT",11.1
"5263",2022-02-21,"BLOUNT",9.3
"5264",2022-02-22,"BLOUNT",8.1
"5265",2022-02-23,"BLOUNT",6.4
"5266",2022-02-24,"BLOUNT",6.3
"5267",2022-02-25,"BLOUNT",6.3
"5268",2022-02-26,"BLOUNT",5.3
"5269",2022-02-27,"BLOUNT",5.1
"5270",2022-02-28,"BLOUNT",4.9
"5271",2022-03-01,"BLOUNT",4.7
"5272",2022-03-02,"BLOUNT",4.1
"5273",2022-03-03,"BLOUNT",3
"5274",2022-03-04,"BLOUNT",2.3
"5275",2022-03-05,"BLOUNT",2.4
"5276",2022-03-06,"BLOUNT",2.3
"5277",2022-03-07,"BLOUNT",2.3
"5278",2022-03-08,"BLOUNT",2.1
"5279",2022-03-09,"BLOUNT",1.9
"5280",2022-03-10,"BLOUNT",2
"5281",2022-03-11,"BLOUNT",2
"5282",2022-03-12,"BLOUNT",1.7
"5283",2022-03-13,"BLOUNT",1.7
"5284",2022-03-14,"BLOUNT",2.1
"5285",2022-03-15,"BLOUNT",1.9
"5286",2022-03-16,"BLOUNT",2
"5287",2022-03-17,"BLOUNT",1.7
"5288",2022-03-18,"BLOUNT",1.4
"5289",2022-03-19,"BLOUNT",1.3
"5290",2022-03-20,"BLOUNT",1.1
"5291",2022-03-21,"BLOUNT",0.4
"5292",2022-03-22,"BLOUNT",0.4
"5293",2022-03-23,"BLOUNT",0.6
"5294",2022-03-24,"BLOUNT",0.6
"5295",2022-03-25,"BLOUNT",0.7
"5296",2022-03-26,"BLOUNT",0.7
"5297",2022-03-27,"BLOUNT",0.7
"5298",2022-03-28,"BLOUNT",0.7
"5299",2022-03-29,"BLOUNT",1
"5300",2022-03-30,"BLOUNT",0.6
"5301",2022-03-31,"BLOUNT",0.4
"5302",2022-04-01,"BLOUNT",0.3
"5303",2022-04-02,"BLOUNT",0.7
"5304",2022-04-03,"BLOUNT",0.9
"5305",2022-04-04,"BLOUNT",0.9
"5306",2022-04-05,"BLOUNT",0.7
"5307",2022-04-06,"BLOUNT",0.9
"5308",2022-04-07,"BLOUNT",1
"5309",2022-04-08,"BLOUNT",1
"5310",2022-04-09,"BLOUNT",0.7
"5311",2022-04-10,"BLOUNT",0.9
"5312",2022-04-11,"BLOUNT",0.9
"5313",2022-04-12,"BLOUNT",0.7
"5314",2022-04-13,"BLOUNT",0.6
"5315",2022-04-14,"BLOUNT",0.4
"5316",2022-04-15,"BLOUNT",0.4
"5317",2022-04-16,"BLOUNT",0.3
"5318",2022-04-17,"BLOUNT",0
"5319",2022-04-18,"BLOUNT",0.1
"5320",2022-04-19,"BLOUNT",0.4
"5321",2022-04-20,"BLOUNT",0.6
"5322",2022-04-21,"BLOUNT",0.6
"5323",2022-04-22,"BLOUNT",0.7
"5324",2022-04-23,"BLOUNT",0.7
"5325",2022-04-24,"BLOUNT",0.9
"5326",2022-04-25,"BLOUNT",0.9
"5327",2022-04-26,"BLOUNT",1
"5328",2022-04-27,"BLOUNT",1.4
"5329",2022-04-28,"BLOUNT",1.6
"5330",2022-04-29,"BLOUNT",1.4
"5331",2022-04-30,"BLOUNT",1.6
"5332",2022-05-01,"BLOUNT",1.6
"5333",2022-05-02,"BLOUNT",1.7
"5334",2022-05-03,"BLOUNT",1.6
"5335",2022-05-04,"BLOUNT",1.3
"5336",2022-05-05,"BLOUNT",1.1
"5337",2022-05-06,"BLOUNT",1.9
"5338",2022-05-07,"BLOUNT",1.9
"5339",2022-05-08,"BLOUNT",1.7
"5340",2022-05-09,"BLOUNT",1.7
"5341",2022-05-10,"BLOUNT",2
"5342",2022-05-11,"BLOUNT",2
"5343",2022-05-12,"BLOUNT",2.9
"5344",2022-05-13,"BLOUNT",3.3
"5345",2022-05-14,"BLOUNT",3.6
"5346",2022-05-15,"BLOUNT",3.7
"5347",2022-05-16,"BLOUNT",5
"5348",2022-05-17,"BLOUNT",5.6
"5349",2022-05-18,"BLOUNT",5.7
"5350",2022-05-19,"BLOUNT",5.1
"5351",2022-05-20,"BLOUNT",4.3
"5352",2022-05-21,"BLOUNT",4
"5353",2022-05-22,"BLOUNT",4.3
"5354",2022-05-23,"BLOUNT",3.1
"5355",2022-05-24,"BLOUNT",2.6
"5356",2022-05-25,"BLOUNT",3.7
"5357",2022-05-26,"BLOUNT",3.7
"5358",2022-05-27,"BLOUNT",3.9
"5359",2022-05-28,"BLOUNT",4.6
"5360",2022-05-29,"BLOUNT",4.4
"5361",2022-05-30,"BLOUNT",4.6
"5362",2022-05-31,"BLOUNT",6
"5363",2022-06-01,"BLOUNT",5.4
"5364",2022-06-02,"BLOUNT",5.7
"5365",2022-06-03,"BLOUNT",5.9
"5366",2022-06-04,"BLOUNT",5.6
"5367",2022-06-05,"BLOUNT",7
"5368",2022-06-06,"BLOUNT",8
"5369",2022-06-07,"BLOUNT",7
"5370",2022-06-08,"BLOUNT",7.9
"5371",2022-06-09,"BLOUNT",8.6
"5372",2022-06-10,"BLOUNT",9.9
