"","County","Date","County name","FIPS","Fully vaccinated, all ages","Fully vaccinated","Received at least 1 dose, all ages","Received at least 1 dose","Fully vaccinated, 5+","Fully vaccinated, 12+","Fully vaccinated, 18+","Fully vaccinated, 65+","Geometry"
"47","Marion",2023-01-11,"Marion County","01093","37.5","11129","43.7","12994","39.5","42.9","45.4","64.8","MULTIPOLYGON (((-88.20378 34.08655, -88.2002 34.11595, -88.19213 34.17535, -88.19068 34.19012, -88.18762 34.20478, -88.18667 34.22095, -88.17711 34.29224, -88.17689 34.29386, -88.17587 34.30217, -88.17363 34.32105, -87.9089 34.31253, -87.73089 34.31019, -87.63473 34.307, -87.63437 34.22017, -87.63528 34.1709, -87.63624 34.07014, -87.63612 34.0022, -87.63593 33.91525, -87.72244 33.9148, -87.86324 33.91951, -87.95179 33.91993, -87.95193 34.0222, -87.98743 34.0229, -87.98693 34.0521, -88.20723 34.05833, -88.20378 34.08655)))"
"48","Marshall",2023-01-11,"Marshall County","01095","47.3","45791","57.4","55508","51","55.9","59.1","83.4","MULTIPOLYGON (((-86.58163 34.33168, -86.58132 34.37109, -86.57366 34.41816, -86.57336 34.42014, -86.55309 34.54316, -86.55017 34.54596, -86.55109 34.5415, -86.53175 34.50127, -86.53078 34.5004, -86.49999 34.48229, -86.46891 34.47563, -86.45396 34.4838, -86.42391 34.47958, -86.41245 34.49415, -86.38893 34.5002, -86.39242 34.51838, -86.36973 34.51375, -86.35518 34.52349, -86.33818 34.5101, -86.3302 34.51268, -86.3245 34.52914, -86.31119 34.53928, -86.30665 34.56074, -86.32885 34.56524, -86.33142 34.57326, -86.30308 34.57962, -86.30313 34.59263, -86.32685 34.5994, -86.32696 34.59974, -86.31826 34.5998, -86.31604 34.5998, -86.18299 34.59944, -86.14846 34.59907, -86.14868 34.58834, -86.14776 34.5209, -86.12638 34.5333, -86.09785 34.5217, -86.09774 34.51255, -86.09615 34.48874, -86.08342 34.46457, -86.05771 34.47599, -86.11036 34.4278, -86.11889 34.40384, -86.11007 34.3748, -86.10892 34.33376, -86.10791 34.28272, -86.10743 34.2498, -86.10609 34.20076, -86.10561 34.18623, -86.157 34.18727, -86.17372 34.18348, -86.18997 34.18292, -86.30352 34.09907, -86.31366 34.11179, -86.37831 34.17379, -86.3867 34.18227, -86.40902 34.205, -86.41694 34.21489, -86.43069 34.23189, -86.44413 34.25912, -86.45302 34.25932, -86.45945 34.28915, -86.47752 34.30276, -86.54952 34.30374, -86.58194 34.30469, -86.58163 34.33168)))"
"49","Mobile",2023-01-11,"Mobile County","01097","52","214807","63","260262","55.6","60.3","62.7","83.2","MULTIPOLYGON (((-88.04374 30.51742, -88.03661 30.52049, -88.02473 30.5164, -88.02473 30.50309, -88.02592 30.4908, -88.05325 30.50616, -88.04374 30.51742)), ((-88.26727 30.35381, -88.26133 30.37226, -88.25063 30.36714, -88.24826 30.34663, -88.24826 30.32611, -88.25776 30.31893, -88.27321 30.33329, -88.26727 30.35381)), ((-88.33076 30.23503, -88.30433 30.23766, -88.28857 30.23854, -88.26164 30.24469, -88.22555 30.25083, -88.17778 30.25786, -88.15897 30.25786, -88.14373 30.26049, -88.13063 30.26212, -88.12472 30.27354, -88.12466 30.28364, -88.08681 30.25986, -88.07485 30.24912, -88.07586 30.24614, -88.07879 30.24504, -88.0929 30.24073, -88.10733 30.22508, -88.14474 30.23898, -88.1666 30.24117, -88.20776 30.23678, -88.27943 30.22229, -88.30535 30.22141, -88.32466 30.22317, -88.33076 30.23503)), ((-88.43201 31.1143, -88.32993 31.11436, -88.32978 31.14382, -88.0505 31.14412, -88.02265 31.14427, -87.98882 31.17331, -87.97287 31.16269, -87.96628 31.14826, -87.94012 31.14724, -87.94658 31.12168, -87.97622 31.08953, -87.96324 31.06803, -87.9487 31.06786, -87.94115 31.04816, -87.95735 31.02937, -87.95051 31.02209, -87.9648 31.00819, -87.95662 30.98978, -87.96519 30.96778, -87.94355 30.96177, -87.92429 30.9354, -87.95231 30.92488, -87.95449 30.91877, -87.98693 30.87518, -87.98097 30.86187, -87.95448 30.84941, -87.94455 30.82705, -87.98707 30.81144, -87.9906 30.79415, -88.0167 30.78109, -88.0222 30.77219, -88.02632 30.75336, -88.001 30.69829, -88.0084 30.68496, -88.01244 30.68319, -88.02208 30.67387, -88.02671 30.66149, -88.03459 30.65371, -88.04434 30.65257, -88.062 30.64489, -88.0596 30.61909, -88.054 30.61249, -88.0649 30.58829, -88.0749 30.57889, -88.08404 30.56541, -88.08549 30.56326, -88.08162 30.54632, -88.08279 30.52871, -88.09073 30.52357, -88.10087 30.50975, -88.10377 30.5009, -88.10299 30.49303, -88.09687 30.47105, -88.10065 30.46122, -88.10644 30.45274, -88.10407 30.4273, -88.10727 30.37725, -88.11543 30.35657, -88.12461 30.34162, -88.12805 30.33851, -88.13617 30.32073, -88.15577 30.32718, -88.17197 30.32468, -88.19154 30.317, -88.19566 30.32124, -88.19836 30.33882, -88.19635 30.34359, -88.18853 30.34505, -88.18853 30.34812, -88.20006 30.36238, -88.2045 30.3621, -88.2607 30.38238, -88.28263 30.38288, -88.29065 30.37074, -88.31161 30.36891, -88.31652 30.36998, -88.3196 30.38033, -88.33228 30.38844, -88.34134 30.38947, -88.36402 30.38801, -88.37467 30.38561, -88.39502 30.36942, -88.40228 30.51085, -88.40355 30.5331, -88.40393 30.54336, -88.40401 30.54506, -88.40468 30.55991, -88.40601 30.58976, -88.40748 30.62274, -88.40746 30.63165, -88.40807 30.63697, -88.40957 30.66873, -88.41134 30.70633, -88.41155 30.71296, -88.41221 30.7304, -88.41227 30.73177, -88.41245 30.7356, -88.41863 30.86653, -88.41956 30.87519, -88.42202 30.92507, -88.42564 30.9983, -88.42573 31.00018, -88.42581 31.00112, -88.43201 31.1143)))"
"50","Monroe",2023-01-11,"Monroe County","01099","44.9","9314","56.2","11657","47.3","51","53.3","67.9","MULTIPOLYGON (((-87.78438 31.32891, -87.76798 31.34407, -87.7628 31.36428, -87.75454 31.36233, -87.75358 31.34056, -87.7464 31.33326, -87.72276 31.34362, -87.72584 31.37374, -87.70604 31.40096, -87.68553 31.40756, -87.66557 31.42317, -87.63965 31.42477, -87.62271 31.41074, -87.60314 31.40956, -87.577 31.4321, -87.56336 31.4647, -87.56279 31.47769, -87.60506 31.50016, -87.62144 31.51475, -87.59926 31.52744, -87.56541 31.55357, -87.56684 31.69712, -87.51613 31.69782, -87.51836 31.81439, -87.50095 31.81402, -87.50093 31.82925, -87.24455 31.8318, -87.21408 31.8285, -86.9069 31.83063, -86.9059 31.75303, -86.9339 31.74616, -86.94872 31.73488, -86.9799 31.72618, -86.98932 31.71856, -87.02414 31.71256, -87.0511 31.71834, -87.06095 31.70485, -87.05597 31.67738, -87.07833 31.66634, -87.09135 31.65226, -87.13505 31.64242, -87.1374 31.61445, -87.14513 31.58717, -87.15892 31.56614, -87.16773 31.5348, -87.16658 31.51956, -87.19793 31.47811, -87.20685 31.4581, -87.22511 31.45491, -87.22999 31.45342, -87.27111 31.4162, -87.29672 31.40128, -87.33218 31.35525, -87.34653 31.34962, -87.35976 31.31775, -87.39321 31.30085, -87.42088 31.27632, -87.42745 31.26039, -87.48921 31.26008, -87.52301 31.24791, -87.55929 31.22729, -87.61589 31.24446, -87.63223 31.24293, -87.67642 31.26199, -87.71429 31.30212, -87.76515 31.29735, -87.78379 31.31546, -87.78438 31.32891)))"
"51","Montgomery",2023-01-11,"Montgomery County","01101","54.7","123989","68.8","155729","58.7","63.2","65","86.6","MULTIPOLYGON (((-86.4919 32.36433, -86.46356 32.37729, -86.46128 32.40347, -86.45627 32.40584, -86.44472 32.39984, -86.41117 32.40994, -86.3984 32.42694, -86.34447 32.43264, -86.3082 32.41492, -86.30818 32.41496, -86.30816 32.41502, -86.32516 32.44353, -86.30798 32.46701, -86.31325 32.48897, -86.29025 32.47261, -86.26202 32.48652, -86.26289 32.50125, -86.23707 32.49498, -86.19808 32.45138, -86.1806 32.4475, -86.19228 32.43613, -86.15424 32.43435, -86.15103 32.42464, -86.12545 32.43405, -86.12955 32.42219, -86.11633 32.41703, -86.08628 32.42165, -86.07806 32.41271, -86.0464 32.40615, -86.04255 32.41793, -86.02301 32.41998, -86.01094 32.40431, -86.01458 32.38429, -85.99367 32.35791, -85.99128 32.3361, -85.9691 32.33355, -85.95846 32.32348, -85.95432 32.30221, -85.91929 32.27438, -85.98656 32.27234, -85.98655 32.25064, -85.99916 32.25054, -85.99786 32.1416, -85.99685 32.05105, -85.99556 31.96755, -86.19138 31.96645, -86.30222 31.96506, -86.30351 32.05031, -86.30704 32.0517, -86.40628 32.05073, -86.40827 32.20898, -86.40831 32.20998, -86.40877 32.24431, -86.4847 32.28449, -86.49106 32.30162, -86.47448 32.33155, -86.49677 32.34444, -86.4919 32.36433)))"
"52","Morgan",2023-01-11,"Morgan County","01103","44.9","53752","52.8","63223","47.8","52.1","54.8","79","MULTIPOLYGON (((-87.10937 34.41581, -87.10621 34.57439, -87.10576 34.60562, -87.10507 34.68604, -87.05286 34.6504, -87.03532 34.65204, -87.00658 34.63411, -86.99205 34.6273, -86.98027 34.61856, -86.97279 34.61334, -86.9072 34.57979, -86.86012 34.56713, -86.8369 34.55619, -86.79006 34.55079, -86.75314 34.55567, -86.72172 34.58271, -86.70219 34.589, -86.67656 34.57779, -86.66514 34.55209, -86.6362 34.5552, -86.61417 34.57723, -86.59849 34.58211, -86.56797 34.57552, -86.55354 34.56166, -86.55017 34.54596, -86.55309 34.54316, -86.57336 34.42014, -86.57366 34.41816, -86.58132 34.37109, -86.58163 34.33168, -86.58194 34.30469, -86.81458 34.30776, -86.83866 34.30817, -87.09198 34.3123, -87.11011 34.3138, -87.10937 34.41581)))"
"53","Perry",2023-01-11,"Perry County","01105","50.2","4481","60.2","5368","53.2","57.2","58.5","74.8","MULTIPOLYGON (((-87.5252 32.65571, -87.47391 32.65587, -87.47381 32.72819, -87.47219 32.74345, -87.47217 32.83062, -87.42139 32.83083, -87.4212 32.87451, -87.31947 32.87512, -87.31918 32.83152, -87.23329 32.83224, -87.21253 32.83517, -87.09818 32.83601, -87.01916 32.83703, -87.01776 32.72953, -87.03325 32.69584, -87.03208 32.664, -87.04353 32.64295, -87.04787 32.62078, -87.04071 32.59919, -87.05701 32.58444, -87.0814 32.57043, -87.07726 32.55736, -87.08184 32.53708, -87.08997 32.53442, -87.10072 32.50474, -87.11275 32.48851, -87.22098 32.48699, -87.26562 32.48402, -87.42315 32.48297, -87.42174 32.3081, -87.47308 32.30761, -87.52429 32.30729, -87.52448 32.48203, -87.5252 32.65571)))"
"54","Pickens",2023-01-11,"Pickens County","01107","52.3","10421","64.1","12779","55.1","59.1","61.3","78.1","MULTIPOLYGON (((-88.33101 33.07249, -88.33093 33.07312, -88.31713 33.18412, -88.31524 33.20332, -88.31253 33.22092, -88.30442 33.28832, -88.30274 33.30221, -88.29108 33.39905, -88.27742 33.51244, -88.2768 33.51646, -88.27462 33.53401, -87.94652 33.52407, -87.84068 33.52484, -87.83844 33.28431, -87.83752 33.15364, -87.87679 33.13919, -87.93368 33.1132, -87.93831 33.11467, -87.96884 33.07764, -87.98149 33.08062, -88.02697 33.0636, -88.03937 33.05363, -88.03157 33.04216, -88.04343 33.03263, -88.065 33.05134, -88.07487 33.05277, -88.08607 33.03625, -88.11521 33.0418, -88.1494 33.0373, -88.14293 33.02536, -88.17176 33.00867, -88.17185 32.99586, -88.34043 32.9912, -88.33101 33.07249)))"
"55","Pike",2023-01-11,"Pike County","01109","43.7","14482","53.1","17582","46.1","48.8","49.6","83.4","MULTIPOLYGON (((-86.19941 31.80786, -86.18295 31.83239, -86.18231 31.87029, -86.17309 31.89314, -86.17497 31.9306, -86.19138 31.96645, -85.99556 31.96755, -85.99685 32.05105, -85.98405 32.04745, -85.97591 32.05443, -85.95025 32.05455, -85.9463 32.06189, -85.94628 32.05457, -85.91175 32.05475, -85.91146 32.04735, -85.89365 32.04735, -85.89265 31.98905, -85.88425 31.98185, -85.88435 31.96725, -85.79005 31.96725, -85.79105 31.88036, -85.65767 31.88027, -85.67759 31.85678, -85.66831 31.83449, -85.67414 31.80814, -85.66269 31.78332, -85.67412 31.75863, -85.6956 31.74783, -85.70511 31.73171, -85.70612 31.70724, -85.71791 31.69803, -85.71615 31.6605, -85.72983 31.63237, -85.74142 31.61961, -85.74825 31.61805, -85.78914 31.61796, -86.1459 31.61774, -86.1797 31.61652, -86.17868 31.62819, -86.15888 31.64754, -86.16006 31.66023, -86.14715 31.66315, -86.14834 31.79095, -86.19938 31.79045, -86.19941 31.80786)))"
"56","Randolph",2023-01-11,"Randolph County","01111","34.2","7771","41.6","9454","36.2","39.4","41.9","64.5","MULTIPOLYGON (((-85.65047 33.30615, -85.64144 33.30596, -85.64113 33.32393, -85.64991 33.32421, -85.64348 33.49589, -85.35257 33.49244, -85.34774 33.50138, -85.33106 33.49101, -85.30449 33.48288, -85.29395 33.42807, -85.23657 33.12955, -85.23244 33.10807, -85.59318 33.10734, -85.65365 33.10663, -85.65047 33.30615)))"
"57","Russell",2023-01-11,"Russell County","01113","44.3","25662","58.4","33841","47.6","51.1","52.2","80.1","MULTIPOLYGON (((-85.43404 32.40984, -85.35684 32.41049, -85.33014 32.41084, -85.33384 32.46864, -85.22475 32.47028, -85.14747 32.47118, -85.05929 32.47291, -85.06081 32.50771, -85.05652 32.50928, -85.04777 32.50936, -85.00374 32.5101, -85.00284 32.50641, -85.00269 32.50578, -84.99575 32.47737, -84.99523 32.47524, -84.99533 32.45324, -84.97183 32.44284, -84.96343 32.42254, -84.97517 32.41493, -84.97708 32.39082, -84.98115 32.38188, -84.98191 32.38019, -84.98347 32.36319, -85.0081 32.33668, -85.00187 32.32202, -84.95636 32.30613, -84.9338 32.29826, -84.88943 32.26194, -84.91403 32.24875, -84.92143 32.23085, -84.92503 32.22215, -84.96743 32.21935, -84.97933 32.20725, -84.96463 32.20355, -84.96173 32.19865, -85.01127 32.18049, -85.05875 32.13602, -85.04706 32.08739, -85.04934 32.06244, -85.18507 32.06171, -85.19141 32.06459, -85.19575 32.08184, -85.22912 32.10271, -85.23626 32.12366, -85.25978 32.13854, -85.25783 32.14793, -85.41024 32.14665, -85.42744 32.14655, -85.43354 32.23465, -85.43404 32.40984)))"
"58","St. Clair",2023-01-11,"St. Clair County","01115","40.4","36175","48","42981","42.9","46.6","48.8","72.6","MULTIPOLYGON (((-86.57753 33.80198, -86.52177 33.8019, -86.51249 33.81079, -86.4803 33.81515, -86.44528 33.82598, -86.43772 33.81998, -86.40598 33.8359, -86.37753 33.86171, -86.34269 33.88647, -86.3495 33.90698, -86.32215 33.93243, -86.32562 33.94015, -86.29013 33.98372, -86.27808 33.98907, -86.25158 33.9656, -86.23021 33.98279, -86.19916 33.98892, -86.18363 33.9722, -86.16814 33.96518, -86.16616 33.9447, -86.16537 33.92658, -86.1492 33.92056, -86.14272 33.89939, -86.11247 33.904, -86.10889 33.8812, -86.09667 33.86136, -86.07312 33.86578, -86.05454 33.8464, -86.06527 33.8422, -86.05144 33.82413, -86.06436 33.79778, -86.04436 33.76306, -86.06258 33.7599, -86.0816 33.74297, -86.11659 33.7238, -86.12388 33.71079, -86.14371 33.70913, -86.14556 33.6791, -86.15512 33.67163, -86.17087 33.67933, -86.17662 33.69664, -86.18662 33.69946, -86.20498 33.68952, -86.20079 33.67682, -86.17244 33.65983, -86.16488 33.63663, -86.16948 33.61924, -86.20076 33.60872, -86.18438 33.59376, -86.18888 33.59114, -86.21323 33.5946, -86.22102 33.58792, -86.2086 33.55986, -86.19267 33.55314, -86.1905 33.54373, -86.22658 33.52055, -86.23533 33.49453, -86.25326 33.48884, -86.2656 33.49635, -86.26309 33.51212, -86.28061 33.51103, -86.31063 33.45255, -86.3231 33.4445, -86.33611 33.42509, -86.34592 33.41104, -86.37866 33.39098, -86.37822 33.50241, -86.48194 33.50254, -86.48155 33.54607, -86.51678 33.5459, -86.51674 33.55338, -86.55199 33.56102, -86.55147 33.60546, -86.54277 33.61984, -86.54282 33.63437, -86.53416 33.63435, -86.5341 33.6485, -86.53382 33.64889, -86.52512 33.64871, -86.52542 33.65605, -86.52507 33.72124, -86.54264 33.73564, -86.54276 33.76517, -86.5778 33.76532, -86.57753 33.80198)))"
"59","Shelby",2023-01-11,"Shelby County","01117","37.7","82040","46.4","101020","39.9","42.9","44.2","54","MULTIPOLYGON (((-87.02685 33.24646, -86.98289 33.24601, -86.98274 33.25299, -86.97836 33.25514, -86.97836 33.25622, -86.96957 33.26747, -86.92617 33.27816, -86.92614 33.29653, -86.89556 33.31655, -86.89129 33.32579, -86.88252 33.33269, -86.83943 33.33203, -86.8306 33.33201, -86.83047 33.343, -86.83023 33.36077, -86.77864 33.36688, -86.77836 33.38894, -86.76114 33.38837, -86.75248 33.41586, -86.71813 33.41632, -86.71061 33.43057, -86.70035 33.43035, -86.7006 33.43927, -86.69861 33.44113, -86.69194 33.4515, -86.67445 33.45174, -86.66763 33.4666, -86.62669 33.46677, -86.60451 33.46705, -86.56062 33.51751, -86.5172 33.52414, -86.51678 33.5459, -86.48155 33.54607, -86.48194 33.50254, -86.37822 33.50241, -86.37866 33.39098, -86.35286 33.37254, -86.34094 33.35307, -86.36222 33.34692, -86.36751 33.33569, -86.36726 33.31733, -86.361 33.30717, -86.36091 33.29241, -86.39334 33.27543, -86.41028 33.27294, -86.43426 33.28166, -86.42437 33.26056, -86.42887 33.24953, -86.43553 33.24199, -86.447 33.24259, -86.46648 33.22449, -86.46098 33.20293, -86.48614 33.20187, -86.50313 33.17914, -86.48347 33.15952, -86.48298 33.14828, -86.45993 33.12512, -86.49103 33.10294, -86.51114 33.08843, -86.50603 33.06775, -86.52006 33.05699, -86.51734 33.02057, -86.53686 33.02443, -86.55384 33.01893, -86.60403 33.05509, -86.61 33.07, -86.73 33.06927, -86.8023 33.06884, -86.82483 33.06853, -86.84272 33.07094, -86.88164 33.07186, -86.88118 33.0499, -86.93397 33.06406, -86.93399 33.0788, -86.95166 33.07874, -86.95088 33.09858, -86.96931 33.10405, -86.96956 33.15814, -86.9888 33.16184, -87.0256 33.16579, -87.02685 33.24646)))"
"60","Sumter",2023-01-11,"Sumter County","01119","54.1","6729","71","8828","57.4","60.5","61.3","88","MULTIPOLYGON (((-88.41382 32.37392, -88.4125 32.38002, -88.4101 32.39927, -88.40379 32.44977, -88.40379 32.44989, -88.39997 32.48537, -88.39997 32.48541, -88.38886 32.57812, -88.38304 32.62668, -88.38298 32.62695, -88.37334 32.71182, -88.36835 32.74766, -88.35429 32.87513, -88.34785 32.92908, -88.34043 32.9912, -88.17185 32.99586, -88.16734 32.97055, -88.15735 32.96458, -88.16528 32.95432, -88.18406 32.96245, -88.18236 32.94569, -88.1723 32.94289, -88.17533 32.93209, -88.1963 32.93565, -88.20732 32.92478, -88.18975 32.91073, -88.17997 32.87167, -88.15497 32.85287, -88.17973 32.8302, -88.14728 32.82487, -88.13268 32.83285, -88.10541 32.79841, -88.07918 32.80449, -88.06447 32.79219, -88.07934 32.77295, -88.10298 32.77943, -88.10963 32.77099, -88.10143 32.73926, -88.08187 32.71943, -88.08538 32.70905, -88.11586 32.70104, -88.10714 32.68922, -88.07823 32.684, -88.05148 32.69699, -88.0409 32.68767, -88.05799 32.67438, -88.055 32.64648, -88.07902 32.63859, -88.07916 32.61968, -88.05733 32.59344, -88.00989 32.60072, -87.977 32.61078, -87.9473 32.62683, -87.92869 32.63228, -87.91182 32.62476, -87.90484 32.61458, -87.87724 32.62208, -87.85812 32.62079, -87.84089 32.60576, -87.86019 32.59089, -87.8621 32.60648, -87.88263 32.60972, -87.89791 32.60005, -87.89835 32.59232, -87.87501 32.57182, -87.87381 32.54429, -87.85342 32.53209, -87.84151 32.52557, -87.84457 32.51818, -87.85268 32.5152, -87.90126 32.52317, -87.91367 32.51819, -87.94506 32.49125, -87.95415 32.47297, -87.97506 32.45756, -87.99457 32.45524, -88.03162 32.43361, -88.04232 32.41027, -88.04633 32.37709, -88.01948 32.37046, -87.99386 32.34723, -87.97094 32.34435, -87.95189 32.32892, -87.94197 32.31465, -87.93066 32.31057, -88.42145 32.30868, -88.41382 32.37392)))"
"61","Talladega",2023-01-11,"Talladega County","01121","37.7","30183","45.7","36522","39.9","43.1","45.2","66.6","MULTIPOLYGON (((-86.48614 33.20187, -86.46098 33.20293, -86.46648 33.22449, -86.447 33.24259, -86.43553 33.24199, -86.42887 33.24953, -86.42437 33.26056, -86.43426 33.28166, -86.41028 33.27294, -86.39334 33.27543, -86.36091 33.29241, -86.361 33.30717, -86.36726 33.31733, -86.36751 33.33569, -86.36222 33.34692, -86.34094 33.35307, -86.35286 33.37254, -86.37866 33.39098, -86.34592 33.41104, -86.33611 33.42509, -86.3231 33.4445, -86.31063 33.45255, -86.28061 33.51103, -86.26309 33.51212, -86.2656 33.49635, -86.25326 33.48884, -86.23533 33.49453, -86.22658 33.52055, -86.1905 33.54373, -86.19267 33.55314, -86.2086 33.55986, -86.22102 33.58792, -86.21323 33.5946, -86.18888 33.59114, -86.18438 33.59376, -86.20076 33.60872, -86.16948 33.61924, -86.16488 33.63663, -86.17244 33.65983, -86.20079 33.67682, -86.20498 33.68952, -86.18662 33.69946, -86.17662 33.69664, -86.17087 33.67933, -86.15512 33.67163, -86.14556 33.6791, -86.0796 33.6758, -86.05482 33.67472, -86.04958 33.67347, -86.0258 33.64628, -86.02282 33.62092, -86.02174 33.60398, -85.99688 33.60092, -85.99493 33.58648, -85.87557 33.586, -85.79456 33.58556, -85.79605 33.55622, -85.79685 33.54185, -85.85189 33.49874, -85.90491 33.49865, -85.90534 33.45471, -85.92282 33.45458, -85.92376 33.39621, -85.94087 33.39605, -85.94126 33.38175, -85.97652 33.38187, -85.98029 33.29419, -86.01156 33.29432, -86.10084 33.29608, -86.1182 33.29632, -86.12057 33.19451, -86.17283 33.19568, -86.17437 33.10439, -86.49103 33.10294, -86.45993 33.12512, -86.48298 33.14828, -86.48347 33.15952, -86.50313 33.17914, -86.48614 33.20187)))"
"62","Tallapoosa",2023-01-11,"Tallapoosa County","01123","39.7","16030","47","18971","41.9","45.5","47.4","68.4","MULTIPOLYGON (((-86.00756 32.82777, -86.00831 32.93985, -86.00834 32.9978, -86.00917 33.09026, -85.97456 33.09051, -85.97471 33.10529, -85.80169 33.1043, -85.75363 33.10528, -85.65365 33.10663, -85.59318 33.10734, -85.59343 32.89727, -85.59315 32.72853, -85.60999 32.72795, -85.61025 32.71393, -85.67985 32.71253, -85.67965 32.69793, -85.69675 32.69743, -85.69585 32.59593, -85.70918 32.59578, -85.71265 32.58183, -85.79859 32.58109, -85.79822 32.55885, -85.79716 32.49424, -85.88615 32.49305, -85.89039 32.50014, -85.88764 32.55798, -85.89456 32.61473, -85.89028 32.63316, -85.88775 32.64761, -85.91171 32.67784, -85.90747 32.6993, -85.89061 32.717, -85.87986 32.75453, -85.89537 32.75458, -85.95486 32.75482, -85.95556 32.76913, -85.97276 32.76922, -85.97216 32.75493, -86.00719 32.75498, -86.00731 32.8122, -86.01349 32.82012, -86.00756 32.82777)))"
"63","Tuscaloosa",2023-01-11,"Tuscaloosa County","01125","45.4","94964","54.7","114570","48.2","51.6","52.8","79.7","MULTIPOLYGON (((-87.84068 33.52484, -87.73665 33.51957, -87.68756 33.52109, -87.66666 33.52167, -87.66663 33.57981, -87.63161 33.58067, -87.63172 33.60983, -87.4237 33.6021, -87.37112 33.6017, -87.37104 33.58706, -87.31853 33.58739, -87.31824 33.51417, -87.26692 33.51293, -87.26136 33.50068, -87.28544 33.50228, -87.28502 33.48578, -87.33028 33.49196, -87.3417 33.4705, -87.33558 33.45625, -87.31411 33.45573, -87.31439 33.44172, -87.28436 33.44058, -87.28427 33.42571, -87.25379 33.41781, -87.24931 33.39558, -87.23204 33.39514, -87.232 33.36585, -87.19758 33.35813, -87.19484 33.34307, -87.18001 33.34298, -87.17975 33.32801, -87.17964 33.32111, -87.16217 33.32101, -87.16201 33.30659, -87.12714 33.30601, -87.12676 33.29084, -87.0875 33.29068, -87.06575 33.27594, -87.06575 33.26763, -87.06574 33.24691, -87.07664 33.24683, -87.1041 33.22146, -87.12151 33.22147, -87.12187 33.23584, -87.1435 33.23619, -87.15207 33.23248, -87.19915 33.19655, -87.19932 33.13066, -87.28194 33.13306, -87.31158 33.09393, -87.31788 33.0246, -87.31854 33.00618, -87.42194 33.00338, -87.71571 33.00682, -87.71201 33.01562, -87.71474 33.01772, -87.75233 33.01726, -87.83223 33.01726, -87.83146 33.09386, -87.83805 33.13686, -87.83752 33.15364, -87.83844 33.28431, -87.84068 33.52484)))"
"64","Walker",2023-01-11,"Walker County","01127","48.8","30977","57.9","36800","51.9","56.6","59.5","85.4","MULTIPOLYGON (((-87.63612 34.0022, -87.50002 33.99663, -87.2663 33.99456, -87.21673 33.99391, -87.20003 33.98488, -87.18991 34.0028, -87.16891 34.0051, -87.15104 33.99322, -87.13408 33.96509, -87.11238 33.95949, -87.10457 33.93522, -87.08558 33.91916, -87.082 33.9064, -87.10081 33.89836, -87.09184 33.89009, -87.00708 33.88893, -87.00686 33.86618, -86.99399 33.86093, -86.96336 33.85822, -86.9543 33.84486, -86.95366 33.8153, -86.95577 33.80083, -86.97124 33.80121, -86.97093 33.78646, -87.00596 33.78724, -87.00589 33.77257, -87.02329 33.77273, -87.02335 33.74659, -87.03158 33.72898, -87.04064 33.72897, -87.03982 33.68746, -87.05725 33.68547, -87.05776 33.65636, -87.0927 33.65687, -87.09273 33.62785, -87.14447 33.6282, -87.14441 33.61341, -87.17943 33.61379, -87.17955 33.59927, -87.19692 33.59934, -87.20458 33.57883, -87.19691 33.5624, -87.18579 33.55588, -87.21003 33.53873, -87.2326 33.53938, -87.25047 33.5142, -87.2687 33.53058, -87.27553 33.52206, -87.26692 33.51293, -87.31824 33.51417, -87.31853 33.58739, -87.37104 33.58706, -87.37112 33.6017, -87.4237 33.6021, -87.42384 33.68911, -87.52834 33.69205, -87.5316 33.86762, -87.63604 33.872, -87.63593 33.91525, -87.63612 34.0022)))"
